,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rank,home_rank_pts,away_rank,away_rank_pts,rank_diff,rank_pts_diff,outcome,outcome_num,home_game,away_game,home_OVR,home_ATT,home_MID,home_DEF,home_team_id,home_team_url,away_OVR,away_ATT,away_MID,away_DEF,away_team_id,away_team_url
128,2014-06-21 00:00:00.000000,Sweden,Hungary,1,1,Friendly,Solna,Sweden,0,32,741,47,624,-15,117,D,1,1,0,76,78,75,75,1363,/team/1363/sweden/fifa15_16/,70,70,71,66,1886,/team/1886/hungary/fifa15_16/
129,2014-06-28 00:00:00.000000,Norway,Sweden,0,1,Friendly,Kristiania,Norway,0,55,562,32,741,23,-179,L,2,1,0,71,71,72,70,1352,/team/1352/norway/fifa15_16/,76,78,75,75,1363,/team/1363/sweden/fifa15_16/
130,2014-07-05 00:00:00.000000,Sweden,Russia,2,2,Friendly,Solna,Sweden,0,32,741,19,893,13,-152,D,1,1,0,76,78,75,75,1363,/team/1363/sweden/fifa15_16/,77,78,77,74,1357,/team/1357/russia/fifa15_16/
131,2014-07-12 00:00:00.000000,Norway,Russia,1,1,Friendly,Kristiania,Norway,0,55,562,19,893,36,-331,D,1,1,0,71,71,72,70,1352,/team/1352/norway/fifa15_16/,77,78,77,74,1357,/team/1357/russia/fifa15_16/
132,2014-08-30 00:00:00.000000,Uruguay,Argentina,3,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,0,6,1316,2,1604,4,-288,W,0,1,0,76,82,75,76,1377,/team/1377/uruguay/fifa14_13/,82,85,82,79,1369,/team/1369/argentina/fifa14_13/
133,2014-09-13 00:00:00.000000,Argentina,Uruguay,2,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,0,2,1604,6,1316,-4,288,W,0,1,0,82,85,82,79,1369,/team/1369/argentina/fifa14_13/,76,82,75,76,1377,/team/1377/uruguay/fifa14_13/
134,2014-09-20 00:00:00.000000,Argentina,Brazil,3,0,Friendly,Buenos Aires,Argentina,0,2,1631,6,1291,-4,340,W,0,1,0,82,86,80,81,1369,/team/1369/argentina/fifa15_15/,82,82,80,83,1370,/team/1370/brazil/fifa15_15/
135,2014-09-27 00:00:00.000000,Argentina,Brazil,0,1,Copa Roca,Buenos Aires,Argentina,0,2,1631,6,1291,-4,340,L,2,1,0,82,86,80,81,1369,/team/1369/argentina/fifa15_15/,82,82,80,83,1370,/team/1370/brazil/fifa15_15/
136,2014-10-04 00:00:00.000000,Hungary,Austria,2,2,Friendly,Budapest,Hungary,0,54,548,39,622,15,-74,D,1,1,0,69,70,72,66,1886,/team/1886/hungary/fifa15_15/,74,71,74,74,1322,/team/1322/austria/fifa15_15/
137,2014-10-25 00:00:00.000000,Sweden,Norway,7,0,Friendly,Solna,Sweden,0,39,646,68,481,-29,165,W,0,1,0,74,80,75,72,1363,/team/1363/sweden/fifa15_15/,71,69,72,70,1352,/team/1352/norway/fifa15_15/
