,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rank,home_rank_pts,away_rank,away_rank_pts,rank_diff,rank_pts_diff,outcome,outcome_num,home_game,away_game,home_OVR,home_ATT,home_MID,home_DEF,home_team_id,home_team_uid,home_team_international_prestige,away_OVR,away_ATT,away_MID,away_DEF,away_team_id,away_team_uid,away_team_international_prestige,ATT_diff,DEF_diff,MID_diff,Friendly,team_uid_x,home_ATT_age,home_DEF_age,home_MID_age,home_ATT_ht,home_DEF_ht,home_MID_ht,home_ATT_wt,home_DEF_wt,home_MID_wt,team_uid_y,away_ATT_age,away_DEF_age,away_MID_age,away_ATT_ht,away_DEF_ht,away_MID_ht,away_ATT_wt,away_DEF_wt,away_MID_wt,ATT_age_diff,DEF_age_diff,MID_age_diff,ATT_ht_diff,DEF_ht_diff,MID_ht_diff,ATT_wt_diff,DEF_wt_diff,MID_wt_diff,home_hrva_rwma,home_hrvap_rwma,home_hrva_rmean,home_hrvap_rmean
1453,2017-11-09,Croatia,Greece,4,1,FIFA World Cup qualification,Zagreb,Croatia,0,18,1013,47,682,-29,331,W,0,1,0,80,80,82,78,1328,1328-18-159068,6,76,78,74,77,1338,1338-18-159068,6,3,0,8,0,1328-18-159068,31.0,28.2,27.0,190.0,185.8,181.2,85.0,79.6,74.4,1338-18-159068,29.0,28.33333333333333,27.5,188.0,185.33333333333331,184.25,86.0,81.66666666666667,74.75,2.666666666666668,-0.8000000000000007,-0.5,4.666666666666657,-2.1999999999999886,-3.050000000000012,3.3333333333333286,-6.400000000000006,-0.3499999999999943,0.331046266071468,0.33034666625394765,0.36619718309859156,0.38028169014084506
1454,2017-11-09,Iran,Panama,2,1,Friendly,Graz,Austria,1,34,784,49,670,-15,114,W,0,0,0,74,76,71,71,111115,111115-17-158729,3,69,68,68,68,111475,111475-18-158904,1,8,3,3,1,111115-17-158729,21.0,25.5,25.0,186.0,184.0,183.83333333333331,79.0,78.75,76.16666666666667,111475-18-158904,36.0,27.0,26.4,187.0,182.8,180.0,83.0,77.8,74.8,-6.0,-10.5,-1.3999999999999986,3.1999999999999886,-3.0,3.8333333333333433,1.2000000000000028,-4.25,1.3666666666666742,0.5933814729285715,0.5872795337253759,0.5061728395061729,0.48148148148148145
1455,2017-11-09,Northern Ireland,Switzerland,0,1,FIFA World Cup qualification,Belfast,Northern Ireland,0,23,889,11,1134,12,-245,L,2,1,0,71,71,71,71,110081,110081-18-159068,2,78,75,78,77,1364,1364-18-159068,5,-6,-4,-7,0,110081-18-159068,30.0,28.4,27.0,179.0,186.2,176.75,73.5,79.2,73.25,1364-18-159068,25.0,26.2,25.25,177.0,183.6,184.5,78.5,80.2,78.25,3.8000000000000007,3.3999999999999986,1.75,-4.599999999999994,9.199999999999989,-7.75,-6.700000000000002,0.7000000000000028,-5.0,0.04253176119789327,0.04557160419173341,-0.05,-0.03333333333333333
1456,2017-11-09,Romania,Turkey,2,0,Friendly,Cluj,Romania,0,45,705,33,807,12,-102,W,0,1,0,72,72,72,70,1356,1356-18-159068,5,77,80,77,75,1365,1365-18-159068,6,-3,-10,-5,1,1356-18-159068,30.0,28.6,25.0,178.0,185.0,177.0,71.0,78.4,71.8,1365-18-159068,26.0,26.8,24.2,183.0,184.0,183.8,78.0,79.8,78.2,3.1999999999999997,2.6000000000000014,0.8000000000000007,-6.0,2.0,-6.800000000000012,-8.799999999999997,0.4000000000000057,-6.400000000000006,0.09597866197759074,0.08768397612356091,0.09523809523809523,0.10317460317460317
1457,2017-11-09,Scotland,Netherlands,0,1,Friendly,Aberdeen,Scotland,0,29,821,20,931,9,-110,L,2,1,0,74,75,74,74,1359,1359-18-159068,4,80,79,80,80,105035,105035-18-159068,8,-5,-5,-6,1,1359-18-159068,26.0,28.0,24.4,173.0,186.2,183.8,75.0,78.4,77.6,105035-18-159068,23.0,23.2,24.6,176.0,187.0,180.6,78.0,82.6,76.6,2.8000000000000007,5.0,-0.20000000000000284,-14.0,10.199999999999989,3.2000000000000175,-7.599999999999994,0.4000000000000057,1.0,0.16539743374405258,0.12501616350856234,0.0196078431372549,0.0
1458,2017-11-10,Belgium,Mexico,3,3,Friendly,Brussels,Belgium,0,5,1333,16,1060,-11,273,D,1,1,0,85,86,84,85,1325,1325-18-159068,7,78,79,79,76,1386,1386-18-159068,7,10,6,5,1,1325-18-159068,26.66666666666667,27.8,25.66666666666667,177.33333333333337,191.8,182.66666666666663,77.0,89.6,71.33333333333333,1386-18-159068,26.0,28.4,28.0,175.66666666666663,183.0,174.0,73.33333333333333,78.0,68.0,-1.7333333333333307,1.8000000000000007,-2.333333333333332,-5.666666666666656,16.133333333333358,8.666666666666657,-1.0,16.266666666666666,3.3333333333333286,0.5772515835834178,0.5885497094913603,0.36923076923076925,0.3769230769230769
1459,2017-11-10,England,Germany,0,0,Friendly,London,England,0,12,1116,1,1631,11,-515,D,1,1,0,82,83,81,81,1318,1318-18-159068,8,85,81,85,84,1337,1337-18-159068,10,-1,0,-4,1,1318-18-159068,23.0,27.0,22.5,188.0,186.5,185.75,86.0,77.33333333333333,80.0,1337-18-159068,27.0,27.2,28.33333333333333,187.33333333333331,187.4,184.0,80.0,83.8,80.66666666666667,-4.199999999999998,0.0,-5.833333333333332,0.5999999999999943,-0.8333333333333428,1.75,2.200000000000003,-2.6666666666666714,-0.6666666666666714,0.6069056000537401,0.5796261074902282,0.5384615384615384,0.5230769230769231
1460,2017-11-10,France,Wales,2,0,Friendly,Saint-Denis,France,0,7,1226,14,1072,-7,154,W,0,1,0,84,83,86,81,1335,1335-18-159068,9,75,82,72,76,1367,1367-18-159068,4,7,-1,14,1,1335-18-159068,24.66666666666667,26.4,23.66666666666667,181.66666666666663,184.0,176.33333333333337,77.33333333333333,75.8,70.0,1367-18-159068,27.0,28.16666666666667,27.66666666666667,186.5,183.16666666666663,178.0,85.5,78.0,70.33333333333333,-3.5,-0.6000000000000014,-4.0,-1.5,-2.5,-1.6666666666666572,-0.6666666666666714,-9.700000000000003,-0.3333333333333286,0.44146241939038067,0.369926436574624,0.3484848484848485,0.32575757575757575
1461,2017-11-10,Japan,Brazil,1,3,Friendly,Villeneuve-d'Ascq,France,1,44,711,2,1619,42,-908,L,2,0,0,75,76,77,74,1411,1411-17-158729,5,85,86,83,85,1370,1370-18-159068,10,-9,-12,-6,1,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,1370-18-159068,23.33333333333333,28.4,27.33333333333333,174.0,181.2,184.0,69.66666666666667,78.4,83.66666666666667,-2.3999999999999986,4.266666666666668,-0.13333333333333286,0.8000000000000114,8.199999999999989,-9.400000000000006,-7.400000000000006,5.733333333333333,-17.866666666666674,0.44311010426022035,0.356817924184158,0.38461538461538464,0.3241758241758242
1462,2017-11-10,Korea Republic,Colombia,2,1,Friendly,Suwon,Korea Republic,0,62,588,13,1095,49,-507,W,0,1,0,73,74,74,70,974,974-16-158159,5,79,81,77,78,111109,111109-18-159068,7,-4,-11,-3,1,974-16-158159,23.66666666666667,27.5,25.5,185.33333333333331,185.0,180.25,82.66666666666667,75.0,72.75,111109-18-159068,28.5,24.4,28.5,178.0,182.4,182.25,75.5,79.4,76.5,-0.7333333333333307,-1.0,-3.0,2.9333333333333367,7.0,-2.0,3.2666666666666657,-0.5,-3.75,0.3235107144057999,0.29313331837627815,0.36,0.3466666666666667
