date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rank,home_rank_pts,away_rank,away_rank_pts,rank_diff,rank_pts_diff,outcome,outcome_num,home_game,away_game,home_OVR,home_ATT,home_MID,home_DEF,home_team_id,home_team_uid,home_team_international_prestige,away_OVR,away_ATT,away_MID,away_DEF,away_team_id,away_team_uid,away_team_international_prestige,ATT_diff,DEF_diff,MID_diff,Friendly,team_uid_x,home_ATT_age,home_DEF_age,home_MID_age,home_ATT_ht,home_DEF_ht,home_MID_ht,home_ATT_wt,home_DEF_wt,home_MID_wt,team_uid_y,away_ATT_age,away_DEF_age,away_MID_age,away_ATT_ht,away_DEF_ht,away_MID_ht,away_ATT_wt,away_DEF_wt,away_MID_wt,ATT_age_diff,DEF_age_diff,MID_age_diff,ATT_ht_diff,DEF_ht_diff,MID_ht_diff,ATT_wt_diff,DEF_wt_diff,MID_wt_diff
2013-06-15,Brazil,Japan,3,0,Confederations Cup,Brasília,Brazil,0,22,872,32,765,-10,107,W,0,1,0,83,82,81,84,1370,1370-14-157655,20,75,76,77,74,1411,1411-17-158729,5,8,8,4,0,1370-14-157655,25.333333333333332,28.4,23.333333333333332,180.0,181.0,182.66666666666666,77.66666666666667,76.2,75.0,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,-2.2666666666666693,2.3999999999999986,-3.866666666666667,-2.1999999999999886,-1.0,8.066666666666663,2.2666666666666657,5.200000000000003,9.200000000000003
2013-11-19,Belgium,Japan,2,3,Friendly,Brussels,Belgium,0,5,1175,44,634,-39,541,L,2,1,0,81,80,80,79,1325,1325-14-157655,10,75,76,77,74,1411,1411-17-158729,5,6,3,3,1,1325-14-157655,20.0,25.0,23.6,190.0,189.4,182.4,94.0,84.6,75.6,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,-7.600000000000001,-1.0,-3.599999999999998,7.800000000000011,7.400000000000006,7.800000000000011,18.599999999999994,13.599999999999994,9.799999999999997
2013-07-28,Korea Republic,Japan,1,2,EAFF Championship,Seoul,Korea Republic,0,43,642,37,689,6,-47,L,2,1,0,71,70,71,69,974,974-14-157655,12,75,76,77,74,1411,1411-17-158729,5,-4,-7,-6,0,974-14-157655,23.5,24.8,23.75,182.5,184.6,183.25,75.5,76.8,73.0,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,-4.100000000000001,-1.1999999999999993,-3.4499999999999993,0.30000000000001137,2.5999999999999943,8.650000000000006,0.09999999999999432,5.799999999999997,7.200000000000003
2016-10-11,Australia,Japan,1,1,FIFA World Cup qualification,Melbourne,Australia,0,45,643,56,574,-11,69,D,1,1,0,72,71,71,70,1415,1415-17-158729,5,75,76,77,74,1411,1411-17-158729,5,-3,-6,-6,0,1415-17-158729,24.5,23.0,27.25,185.5,183.0,182.0,82.5,76.2,73.5,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,-3.1000000000000014,-3.0,0.05000000000000071,3.3000000000000114,1.0,7.400000000000006,7.099999999999994,5.200000000000003,7.700000000000003
2017-11-14,Belgium,Japan,1,0,Friendly,Bruges,Belgium,0,5,1333,44,711,-39,622,W,0,1,0,85,86,84,85,1325,1325-18-159068,7,75,76,77,74,1411,1411-17-158729,5,12,9,7,1,1325-18-159068,26.666666666666668,27.8,25.666666666666668,177.33333333333334,191.8,182.66666666666666,77.0,89.6,71.33333333333333,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,-0.9333333333333336,1.8000000000000007,-1.5333333333333314,-4.866666666666646,9.800000000000011,8.066666666666663,1.5999999999999943,18.599999999999994,5.533333333333331
2018-06-19,Colombia,Japan,1,2,FIFA World Cup,Saransk,Russia,1,16,986,61,521,-45,465,L,2,0,0,78,78,80,77,111109,111109-08-155359,7,75,76,77,74,1411,1411-17-158729,5,4,1,3,0,111109-08-155359,26.0,25.4,26.75,178.0,180.4,180.25,77.5,74.2,73.0,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,-1.6000000000000014,-0.6000000000000014,-0.4499999999999993,-4.199999999999989,-1.5999999999999943,5.650000000000006,2.0999999999999943,3.200000000000003,7.200000000000003
2018-07-02,Belgium,Japan,3,2,FIFA World Cup,Rostov-On-Don,Russia,1,3,1298,61,521,-58,777,W,0,0,0,84,85,83,86,1325,1325-19-159296,7,75,76,77,74,1411,1411-17-158729,5,11,10,6,0,1325-19-159296,27.666666666666668,28.8,26.666666666666668,177.33333333333334,191.0,183.33333333333334,76.33333333333333,87.6,74.66666666666667,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,0.06666666666666643,2.8000000000000007,-0.5333333333333314,-4.866666666666646,9.0,8.733333333333348,0.9333333333333229,16.599999999999994,8.866666666666674
2018-06-08,Switzerland,Japan,2,0,Friendly,Lugano,Switzerland,0,6,1199,61,521,-55,678,W,0,1,0,78,74,77,77,1364,1364-19-159296,5,75,76,77,74,1411,1411-17-158729,5,0,1,0,1,1364-19-159296,26.0,24.333333333333332,24.333333333333332,179.0,184.16666666666666,185.33333333333334,78.5,80.16666666666667,76.33333333333333,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,-1.6000000000000014,-1.6666666666666679,-2.866666666666667,-3.1999999999999886,2.166666666666657,10.733333333333348,3.0999999999999943,9.166666666666671,10.533333333333331
2010-07-02,Netherlands,Brazil,2,1,FIFA World Cup,Port Elizabeth,South Africa,1,4,1231,1,1611,3,-380,W,0,0,0,81,80,81,76,105035,105035-11-156279,17,83,80,80,81,1370,1370-11-156279,20,-1,-4,1,0,105035-11-156279,27.5,25.2,27.5,185.0,180.6,177.75,75.0,74.2,74.5,1370-11-156279,23.0,29.6,23.5,175.5,183.8,182.25,69.0,77.2,74.0,-2.1000000000000014,2.1999999999999993,4.0,1.1999999999999886,5.099999999999994,-4.5,-2.200000000000003,5.200000000000003,0.5
2010-06-25,Portugal,Brazil,0,0,FIFA World Cup,Durban,South Africa,1,3,1249,1,1611,2,-362,D,1,0,0,81,79,78,79,1354,1354-11-156279,16,83,80,80,81,1370,1370-11-156279,20,-2,-1,-2,0,1354-11-156279,25.666666666666668,27.2,29.0,183.33333333333334,183.6,179.66666666666666,77.66666666666667,76.8,74.33333333333333,1370-11-156279,23.0,29.6,23.5,175.5,183.8,182.25,69.0,77.2,74.0,-3.9333333333333336,4.199999999999999,5.5,-0.46666666666666856,8.099999999999994,-2.583333333333343,0.46666666666666856,7.799999999999997,0.3333333333333286
